county,fips,"low risk 0-4","low risk 5-24","low risk 25-49","low risk 50-64","low risk 65+","high risk 0-4","high risk 5-24","high risk 25-49","high risk 50-64","high risk 65+","first responder 0-4","first responder 5-24","first responder 25-49","first responder 50-64","first responder 65+","pregnant 0-4","pregnant 5-24","pregnant 25-49","pregnant 50-64","pregnant 65+"
Hood,221,2683,9686,10786,7780,5123,235,1329,2621,3955,5769,0,0,439,0,0,0,331,445,0,0
Hopkins,223,2238,8116,8236,4528,2563,196,1101,1981,2302,2885,0,0,358,0,0,0,290,367,0,0
Houston,225,1253,4444,5768,3325,2146,109,636,1444,1691,2416,0,0,191,0,0,0,125,184,0,0
Howard,227,2085,7904,8840,4700,2171,182,1078,2228,2390,2444,0,0,414,0,0,0,276,300,0,0
Hudspeth,229,223,915,777,453,222,19,127,185,230,250,0,0,14,0,0,0,30,31,0,0
Hunt,231,5254,20753,20707,11036,5645,459,2917,5048,5611,6356,0,0,862,0,0,0,638,843,0,0
Hutchinson,233,1472,5089,5134,3014,1536,129,717,1263,1533,1730,0,0,187,0,0,0,155,191,0,0
Irion,235,63,349,352,241,137,5,50,86,123,154,0,0,15,0,0,0,10,14,0,0
Jack,237,446,2024,2384,1150,635,39,293,588,585,715,0,0,53,0,0,0,54,78,0,0
Jackson,239,947,3127,3224,1881,1088,83,430,767,956,1225,0,0,100,0,0,0,106,141,0,0
Jasper,241,2243,7801,8209,4879,2790,196,1033,1971,2481,3142,0,0,307,0,0,0,303,355,0,0
Jeff Davis,243,82,412,388,463,255,7,59,99,236,288,0,0,27,0,0,0,12,14,0,0
Jefferson,245,15783,59838,63233,31467,15052,1379,8072,15410,15999,16950,0,0,3965,0,0,0,2180,2945,0,0
Jim Hogg,247,423,1298,1219,634,371,37,165,274,323,418,0,0,17,0,0,0,57,64,0,0
Jim Wells,249,3076,10457,9427,4969,2508,269,1367,2182,2526,2824,0,0,327,0,0,0,424,482,0,0
Johnson,251,9913,36937,39118,18807,8152,867,5237,9365,9562,9179,0,0,1089,0,0,0,1091,1617,0,0
Jones,253,873,4013,6063,2518,1300,76,590,1585,1280,1464,0,0,214,0,0,0,97,129,0,0
Karnes,255,767,3126,4323,1763,973,67,441,1095,896,1095,0,0,77,0,0,0,94,107,0,0
Kaufman,257,7131,25691,27249,12508,4996,623,3656,6485,6360,5626,0,0,1038,0,0,0,745,1242,0,0
Kendall,259,1622,7315,7234,5209,2626,142,1097,1755,2648,2958,0,0,335,0,0,0,156,313,0,0
Kenedy,261,25,99,95,61,28,2,14,23,31,31,0,0,1,0,0,0,3,3,0,0
Kent,263,35,158,138,119,98,3,23,36,60,110,0,0,18,0,0,0,4,6,0,0
Kerr,265,2379,9695,9232,7078,5792,208,1329,2318,3598,6522,0,0,737,0,0,0,332,405,0,0
Kimble,267,216,808,914,765,494,19,118,229,389,557,0,0,45,0,0,0,20,33,0,0
King,269,10,65,65,48,18,1,10,16,24,20,0,0,5,0,0,0,1,3,0,0
Kinney,271,175,700,754,487,411,15,98,190,247,463,0,0,16,0,0,0,22,20,0,0
Kleberg,273,2280,9718,7295,3264,1731,199,1328,1692,1659,1950,0,0,241,0,0,0,337,367,0,0
Knox,275,256,773,771,463,372,22,104,192,236,418,0,0,51,0,0,0,28,33,0,0
Lamar,277,2931,11490,11133,6373,3893,256,1559,2809,3240,4383,0,0,851,0,0,0,410,465,0,0
Lamb,279,1047,3482,3064,1622,1047,92,458,747,825,1180,0,0,145,0,0,0,139,129,0,0
Lampasas,281,1130,4353,4698,2697,1459,99,623,1140,1371,1642,0,0,156,0,0,0,123,186,0,0
La Salle,283,379,1974,1769,683,403,33,280,425,348,454,0,0,17,0,0,0,58,63,0,0
Lavaca,285,1128,3790,3992,2810,1923,99,549,957,1428,2166,0,0,147,0,0,0,100,174,0,0
Lee,287,992,3916,3817,2228,1233,87,555,907,1133,1389,0,0,81,0,0,0,116,158,0,0
Leon,289,941,3288,3522,2462,1700,82,447,837,1252,1915,0,0,90,0,0,0,116,149,0,0
Liberty,291,4772,18136,20086,9648,3997,417,2469,4798,4905,4501,0,0,461,0,0,0,638,815,0,0
Limestone,293,1407,5223,5469,3083,1774,123,697,1339,1567,1997,0,0,277,0,0,0,198,230,0,0
Lipscomb,295,235,787,767,408,228,20,107,178,208,256,0,0,38,0,0,0,28,42,0,0
Live Oak,297,528,2221,2831,1635,1043,46,316,692,831,1174,0,0,53,0,0,0,65,96,0,0
Llano,299,760,2681,3167,3389,2823,66,366,787,1723,3179,0,0,148,0,0,0,93,119,0,0
